Country,Year,GghExclLandForestry,GhgInclLandForestry,COExclLandForestry,GhgEmissionCH4,GhgEmissionN2O,GhgEmissionFgas,GhgEmissionEnergy,GhgEmissionIndustrial,GhgEmissionAgri,GhgEmissionWaste,CO2EmissionLUCF,CO2EmissionBunkerFuels,CO2EmissionElectricity,CO2EmissionManufacturing,CO2EmissionTransportation,GghEmissionFuel,GhgEmissionFugitive,Population,GDPUSDMillion2005,GDPUSDMillion2005,Energy,Temperature
Albania,1990,11.41,11.52,6.62,3.60,1.18,0.00,8.08,0.39,2.39,0.55,0.11,0.00,0.75,2.76,0.70,3.09,0.78,3446882,14636.55463,5620.43232,2672.799,0.795
Albania,1991,9.19,9.30,4.68,3.39,1.12,0.00,5.89,0.32,2.43,0.56,0.11,0.00,0.56,2.00,0.53,2.16,0.64,3459763,10305.74482,3957.402732,1871.158,-0.269
Albania,1992,7.07,7.18,2.83,3.18,1.07,0.00,3.92,0.11,2.47,0.56,0.11,0.00,0.42,1.34,0.40,1.26,0.49,3446858,9563.731192,3672.469735,1358.193,0.106
Albania,1993,6.28,6.40,2.31,2.96,1.01,0.00,3.10,0.11,2.51,0.57,0.11,0.00,0.56,0.77,0.50,0.92,0.35,3417280,10481.84939,4025.02683,1330.865,0.076
Albania,1994,6.10,6.22,2.39,2.75,0.95,0.00,2.92,0.07,2.55,0.57,0.12,0.00,0.63,0.69,0.63,0.69,0.28,3384367,11351.84289,4359.104057,1415.323,1.33
Albania,1995,5.39,5.51,1.96,2.54,0.89,0.00,2.11,0.11,2.59,0.58,0.12,0.00,0.33,0.59,0.62,0.51,0.06,3357858,12861.63799,4938.864896,1329.417,-0.172
Albania,1996,5.42,5.54,1.97,2.52,0.92,0.00,2.10,0.12,2.60,0.58,0.12,0.00,0.27,0.53,0.61,0.64,0.05,3341043,14032.04705,5388.301602,1418.8,-0.038
Albania,1997,4.93,5.06,1.48,2.49,0.96,0.00,1.67,0.07,2.62,0.58,0.12,0.00,0.24,0.33,0.49,0.57,0.04,3331317,12600.77825,4838.694838,1210.813,0.075
Albania,1998,5.17,5.30,1.71,2.47,0.99,0.00,1.90,0.06,2.63,0.59,0.13,0.00,0.22,0.43,0.73,0.49,0.03,3325456,14201.07709,5453.209083,1306.228,0.795
Albania,1999,6.45,6.58,2.98,2.44,1.03,0.01,3.16,0.07,2.64,0.59,0.13,0.11,0.26,0.54,1.39,0.95,0.02,3317941,15635.38587,6003.9832,1746.515,0.67
