Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Andorra,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Andorra,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Andorra,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf"">The Long-Term Strategy on Energy and Climate Change</a> (11/10/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualitzaci%C3%B3%20NDC.pdf"">Andorra Updated First NDC</a> (5/19/2020)",Net_Zero,Net-zero Target Source
Andorra,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Andorra,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Andorra,Overview,Net-zero Target,,,nz_offset,International Offsets Included,Net_Zero,Includes International Offsets
Andorra,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Andorra,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Antigua and Barbuda,Overview,Net-zero Target,,,nz_status,In Policy Document (9/2/2021),Net_Zero,Net-zero Target Status
Antigua and Barbuda,Overview,Net-zero Target,,,nz_year,2040,Net_Zero,Net-zero Target Year
Antigua and Barbuda,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf"">ANTIGUA AND BARBUDA UPDATED NATIONALLY DETERMINED CONTRIBUTION</a> (9/2/2021)",Net_Zero,Net-zero Target Source
Antigua and Barbuda,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Antigua and Barbuda,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Antigua and Barbuda,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Antigua and Barbuda,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Antigua and Barbuda,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Argentina,Overview,Net-zero Target,,,nz_status,In Policy Document (11/6/2022)<br>In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
Argentina,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Argentina,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/Estrategia%20de%20desarrollo%20resiliente%20con%20bajas%20emisiones%20a%20largo%20plazo%20a%202050.pdf"">Strategy for Resilient Development with Long-term Low Emissions to 2050</a> (11/6/22); <a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020)",Net_Zero,Net-zero Target Source
Argentina,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Argentina,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Argentina,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Argentina,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Argentina,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Armenia,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Armenia,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Armenia,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf"">NATIONALLY DETERMINED CONTRIBUTION 2021-2030 OF THE REPUBLIC OF ARMENIA</a> (4/22/2021)",Net_Zero,Net-zero Target Source
