"Country","Year","Total_GHG_Emissions_Excluding_Land_Use_Change_and_Forestry__MtCO2e_","Total_GHG_Emissions_Including_Land_Use_Change_and_Forestry__MtCO2e_","Total_CO__Excluding_Land_Use_Change_and_Forestry__MtCO2_","Total_CH4__MtCO2e_","Total_N2O__MtCO2e_","Total_F_Gas__MtCO2e_","Energy__MtCO2e_","Industrial_Processes__MtCO2e_","Agriculture__MtCO2e_","Waste__MtCO2e_","LUCF__MtCO2_","Bunker_Fuels__MtCO2_","Electricity_Heat__MtCO2_","Manufacturing_Construction__MtCO2_","Transportation__MtCO2_","Other_Fuel_Combustion__MtCO2e_","Fugitive_Emissions__MtCO2e_","Population__People_","GDP_PPP__Million_Intl___2005__","GDP_USD__Million_US___2005__","Energy_Use__Thous__tonnes_oil_eq___ktoe__"
"Afghanistan",1990,14.9945,14.9945,2.9907,9.391256477,2.610380976,0.002180228,NA,0.057140228,7.048703926,4.038953624,0,NA,NA,NA,NA,NA,1.255569903,11731193,NA,NA,NA
"Afghanistan",1991,14.8345,14.8345,2.7412,9.495961539,2.593733037,0.00361306,NA,0.05857306,7.122341153,4.220035859,0,NA,NA,NA,NA,NA,1.022647563,12612043,NA,NA,NA
"Afghanistan",1992,13.608,13.608,1.4252,9.600666602,2.577085098,0.005045892,NA,0.063669892,7.195978381,4.401118095,0,NA,NA,NA,NA,NA,0.602585224,13811876,NA,NA,NA
"Afghanistan",1994,13.6588,13.6588,1.2971,9.810076726,2.54378922,0.007911556,NA,0.066535556,7.343252836,4.763282565,0,NA,NA,NA,NA,NA,0.247330546,16485018,NA,NA,NA
"Afghanistan",1997,14.5642,14.5642,1.0882,10.69537467,2.755355068,0.025258022,NA,0.083882022,8.110962645,5.252465722,0,NA,NA,NA,NA,NA,0.087301371,19021226,NA,NA,NA
"Afghanistan",1998,15.0216,15.0216,1.0332,11.08567111,2.869461962,0.033214839,NA,0.091838839,8.457998937,5.406516182,0,NA,NA,NA,NA,NA,0.090617953,19496836,NA,NA,NA
"Afghanistan",1999,15.3068,15.3068,0.8061,11.47596755,2.983568855,0.041171657,NA,0.099795657,8.805035228,5.560566643,0,NA,NA,NA,NA,NA,0.093934536,19987071,NA,NA,NA
"Afghanistan",2000,15.7715,15.7715,0.7584,11.86626399,3.097675749,0.049128474,NA,0.074776474,9.152071519,5.714617104,0,NA,NA,NA,NA,NA,0.097251118,20595360,21000,NA,NA
"Afghanistan",2001,15.9133,15.9133,0.6229,12.09610205,3.129922544,0.064441495,NA,0.090089495,9.249627014,5.895407054,0,NA,NA,NA,NA,NA,0.080990525,21347782,21000,NA,NA
"Afghanistan",2002,15.9269,15.9269,0.3591,12.32594011,3.162169339,0.079754515,NA,0.109066515,9.347182509,6.076197004,0,NA,NA,NA,NA,NA,0.064729932,22202806,23378.62801,5150.441046,NA
